title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
Go To The Mardi Gras (Mardi Gras In N.O.) (If You Go To N.O.),Professor Longhair (henry Roeland Byrd) (1949),Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [4, 8, 11, 14], [3, 7, 10, 13], [3, 7, 10, 13], [10, 14, 17], [10, 14, 17], [10, 14, 17], [3, 7, 10, 13], [4, 8, 11, 14], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [4, 8, 11, 14], [3, 7, 10, 13], [3, 7, 10, 13], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [3, 6, 10], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17]]"
Goin' Back To New Orleans,Joseph C Liggins (1992),Medium Swing,Bb-,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 13, 17], [10, 14, 17], [10, 13, 17, 20], [10, 13, 17, 19], [6, 10, 13, 16], [5, 9, 12, 15], [10, 13, 17], [10, 14, 17], [10, 13, 17, 20], [10, 13, 17, 19], [7, 11, 13, 17], [5, 9, 13], [10, 13, 17]]"
Goin' Home,Colyer Ken,Medium Blues,C,,Jazz-Medium Swing,100,3,"(4, 4)","[[0, 4, 7], [0, 4, 7], [0, 4, 7], [0, 4, 7, 10], [5, 9, 12], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [5, 9, 12, 15], [0, 4, 7]]"
Goodbye Dolly Gray,"Will D Cobb, Paul 'Polo' Barnes (1900)",Medium Swing,Bb,,0,0,,"(4, 4)","[[10, 14, 17], [3, 7, 10], [10, 14, 17], [10, 14, 17], [3, 7, 10], [3, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [3, 7, 10], [10, 14, 17], [10, 14, 17], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [3, 7, 10], [10, 14, 17], [10, 14, 17], [3, 7, 10], [3, 7, 10], [2, 6, 9, 12], [2, 6, 9, 12], [3, 7, 10], [4, 7, 10], [10, 14, 17, 20], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17]]"
Goodnight Irene,Huddie Ledbetter (Leadbelly) (1933),Medium Swing,Ab,,Jazz-Medium Swing,100,3,"(4, 4)","[[8, 12, 15], [8, 12, 15], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15], [8, 12, 15], [8, 12, 15, 18], [1, 5, 8], [1, 5, 8], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15]]"
Goody-Goody,"Matty Malneck, Johnny Herndon Mercer (1936)",Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [0, 3, 7], [7, 11, 14, 17], [0, 3, 7], [0, 3, 7], [7, 11, 14, 17], [0, 3, 7], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [10, 14, 17], [7, 11, 14, 17], [10, 14, 17], [10, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17]]"
Gotta Travel On,"Clayton, Erlich, Lazar, Six (1950)",Medium Swing,F,,Jazz-Medium Swing,100,3,"(4, 4)","[[5, 9, 12], [5, 9, 12], [5, 9, 12], [5, 9, 12], [5, 9, 12], [5, 9, 12], [10, 14, 17], [5, 9, 12], [5, 9, 12], [5, 9, 12], [5, 9, 12], [2, 5, 9], [10, 14, 17], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12]]"
Gulf Coast Blues,Clarence Williams (1923),Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17], [10, 13, 16], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [3, 7, 10, 13], [5, 9, 12], [2, 6, 9, 12], [7, 10, 14], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [10, 13, 16], [5, 9, 12, 15], [2, 6, 9, 12], [7, 10, 14], [5, 9, 12], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 13, 16], [5, 9, 12, 15], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17]]"
Gypsy Love Song,"Herbert, Smith (1898)",Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [2, 6, 9, 12], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [10, 14, 17], [6, 10, 13, 16], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17]]"
"Gypsy, The",Reid Billy,Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","[[3, 7, 10, 14], [2, 6, 9, 12], [7, 10, 13], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [5, 8, 11], [10, 14, 17, 20], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [2, 6, 9, 12], [7, 10, 13], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10], [8, 11, 15], [3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10], [9, 12, 15], [2, 6, 9, 12], [7, 10, 14, 17], [5, 8, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [2, 6, 9, 12], [7, 10, 13], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10], [8, 11, 15], [3, 7, 10]]"
Happy Days And Lonely Nights,"Fisher, Rose (1928)",Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17], [2, 5, 9], [3, 7, 10], [10, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [2, 5, 9], [3, 7, 10], [10, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [3, 7, 10], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [2, 5, 9], [3, 7, 10], [10, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15]]"
Happy Days Are Here Again,"Milton Ager, Jack Yellen (1929)",Medium Swing,C,,Jazz-Medium Swing,100,3,"(4, 4)","[[0, 3, 7], [10, 14, 17, 20], [8, 12, 15, 18], [7, 11, 14, 17], [0, 3, 7], [8, 12, 15, 18], [7, 11, 14, 17], [0, 3, 7], [7, 11, 14, 17], [0, 3, 7], [10, 14, 17, 20], [2, 6, 9, 12], [7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 12], [7, 11, 14], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7], [7, 11, 15], [0, 4, 7], [0, 4, 7], [0, 4, 7], [0, 4, 7], [7, 11, 15], [0, 4, 7], [0, 4, 7], [7, 11, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [5, 9, 12, 15], [0, 4, 7], [0, 4, 7], [0, 4, 7], [0, 4, 7], [7, 11, 15], [0, 4, 7], [0, 4, 7], [0, 4, 7], [0, 4, 7], [7, 11, 15], [0, 4, 7], [0, 4, 7], [7, 11, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [5, 9, 12, 15], [0, 4, 7], [0, 4, 7], [4, 8, 11], [1, 4, 8, 11], [6, 9, 13, 16], [11, 15, 18, 21], [4, 8, 11], [11, 15, 18, 21], [4, 8, 11], [0, 3, 7], [7, 11, 14], [4, 7, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [0, 4, 7], [7, 11, 15], [0, 4, 7], [0, 4, 7], [0, 4, 7], [0, 4, 7], [7, 11, 15], [0, 4, 7], [0, 4, 7], [7, 11, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [7, 11, 14, 17], [0, 4, 7], [5, 9, 12, 15], [0, 4, 7], [0, 4, 7]]"
Harbour Lights,"Jimmy Kennedy, Hugh Williams 1937",Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17, 20], [10, 14, 17, 20], [0, 3, 6], [3, 7, 10], [0, 3, 6], [3, 7, 10], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10, 13], [8, 12, 15], [8, 11, 15], [3, 7, 10], [3, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [0, 3, 6], [3, 7, 10], [0, 3, 6], [3, 7, 10], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10]]"
Hard Hearted Hannah,"Ager, Bates, Bigelow, Yellen (1924)",Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","[[3, 7, 10], [10, 14, 18], [3, 7, 10], [10, 14, 18], [3, 7, 10], [10, 14, 18], [3, 7, 10], [3, 7, 10, 13], [8, 12, 15], [8, 11, 15], [3, 7, 10], [3, 7, 10, 13], [8, 12, 15], [8, 11, 15], [3, 7, 10], [10, 14, 17, 20], [3, 7, 10], [10, 14, 18], [3, 7, 10], [10, 14, 18], [3, 7, 10], [10, 14, 18], [3, 7, 10], [2, 6, 9, 12], [7, 10, 14], [2, 6, 9, 12], [7, 10, 14], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [10, 14, 18], [10, 13, 17], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [11, 15, 18, 21], [10, 14, 17, 20], [3, 7, 10], [10, 14, 18], [10, 13, 17], [0, 4, 7, 10], [5, 8, 12, 15], [7, 11, 14, 17], [0, 3, 7], [3, 7, 10, 13], [8, 12, 15], [9, 12, 15], [3, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10]]"
Hard Times,Stephen Foster 1854,Medium Swing,Eb,,Jazz-Medium Swing,100,3,"(4, 4)","[[3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10], [3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10]]"
He Touched Me,William J Gaither,Medium Swing,F,,Jazz-Medium Swing,100,3,"(3, 4)","[[0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12]]"
Heebie Jeebies 1,(1926) Atkins,Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [4, 7, 10], [10, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [7, 10, 14], [3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [5, 9, 12, 15], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17]]"
Hello Dolly (Dixieland Tunes),Jerry Herman (1963),Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","[[10, 14, 17], [10, 14, 17], [7, 10, 14], [7, 10, 14], [10, 14, 17], [1, 4, 7], [0, 3, 7, 10], [5, 9, 12, 15], [0, 3, 7], [0, 3, 7], [0, 8, 12, 15], [0, 3, 7], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [1, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [7, 10, 14], [7, 10, 14], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10], [2, 6, 9, 12], [7, 10, 14], [2, 5, 9], [7, 10, 14], [2, 5, 9], [0, 4, 7, 10, 14], [0, 4, 8], [0, 3, 7, 10, 14], [5, 9, 12, 15], [10, 14, 17], [11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15]]"
Hesitating Blues,W C Handy (1915),Medium Swing,F,,Jazz-Medium Swing,100,3,"(4, 4)","[[5, 8, 11], [5, 9, 12], [5, 8, 11], [5, 9, 12], [5, 8, 11], [5, 9, 12], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12], [10, 14, 17], [5, 9, 12], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17]]"
Hiawatha (His Song To Minnehaha) (AKA A Summer Idyll),"Neil Moret, James O'Dea (1901)",Medium Swing,Eb,,0,0,,"(4, 4)","[[5, 9, 12, 15], [5, 8, 11], [10, 13, 17, 20], [5, 9, 12, 15], [5, 8, 11], [10, 13, 17], [5, 9, 12], [5, 9, 12, 15], [5, 8, 11], [10, 13, 17, 20], [5, 9, 12, 15], [5, 8, 11], [10, 13, 17], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [3, 7, 10], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [10, 14, 17], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10, 13], [3, 7, 11], [8, 12, 15], [8, 12, 15], [8, 12, 15], [8, 11, 15], [3, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10]]"
High Society,"Porter Steele, Walter Melrose (1901)",Medium Swing,Eb,,0,0,,"(4, 4)","[[10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [7, 10, 14], [7, 10, 14], [2, 6, 9, 12], [7, 10, 14], [7, 10, 14], [7, 10, 14], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [7, 10, 14], [7, 10, 14], [2, 6, 9, 12], [7, 10, 14], [7, 10, 14], [7, 10, 14], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [4, 7, 10], [10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [10, 14, 17], [10, 14, 17, 20], [3, 7, 10], [4, 7, 10], [10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10, 13], [8, 12, 15], [9, 12, 15], [3, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [3, 7, 10], [8, 12, 15], [3, 7, 10], [3, 7, 10, 13], [8, 12, 15], [9, 12, 15], [3, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [0, 3, 7], [0, 3, 7], [7, 11, 14, 17], [7, 11, 14, 17], [0, 3, 7], [0, 3, 7], [7, 11, 14, 17], [7, 11, 14, 17], [5, 8, 12], [5, 8, 12], [0, 3, 7], [0, 3, 7], [8, 12, 15], [8, 12, 15], [7, 11, 14, 17], [10, 14, 17]]"
Higher Ground,"Charles H Gabriel, Johnson Oatman Jr (1892)",Medium Swing,Ab,,0,0,,"(4, 4)","[[8, 12, 15], [8, 12, 15, 18], [1, 5, 8], [1, 5, 8], [8, 12, 15], [8, 12, 15], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15, 18], [1, 5, 8], [1, 5, 8], [8, 12, 15], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15], [8, 12, 15], [8, 12, 15], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15], [8, 12, 15], [8, 12, 15, 18], [1, 5, 8], [1, 5, 8], [8, 12, 15], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15]]"
Highways Are Happy Ways (When They Lead The Way To Home),"Harry Harris, Tommy Malie, Larry Shay (1927)",Medium Swing,Ab,,Jazz-Medium Swing,100,3,"(4, 4)","[[8, 12, 15], [8, 12, 15], [8, 12, 15], [8, 12, 15], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [8, 11, 14], [8, 12, 15], [8, 12, 15], [8, 12, 15, 18], [8, 12, 15, 18], [1, 5, 8], [1, 5, 8], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15], [8, 12, 15], [8, 12, 15], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15]]"
Hindustan,"Oliver G Wallace, Harold Weeks (1918)",Medium Swing,Bb,,0,0,,"(4, 4)","[[10, 13, 17], [1, 4, 7], [0, 3, 6], [5, 9, 12, 15], [10, 13, 17], [1, 4, 7], [0, 3, 6], [5, 9, 12, 15], [10, 13, 17], [10, 13, 17], [10, 13, 17], [10, 13, 17], [10, 13, 17], [10, 13, 17], [10, 13, 17], [10, 13, 17], [3, 6, 10], [10, 13, 17], [5, 9, 12, 15], [10, 13, 17], [10, 13, 17], [5, 8, 12], [5, 8, 12], [0, 4, 7, 10], [5, 8, 12], [5, 8, 12], [0, 4, 7, 10], [5, 8, 12], [5, 8, 12], [0, 4, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 13], [10, 14, 17], [10, 14, 17], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [5, 9, 12, 15], [0, 3, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [5, 9, 12, 15], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 13], [10, 14, 17], [10, 14, 17], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10], [3, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [3, 6, 10], [3, 6, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12, 15]]"
His Eye Is On The Sparrow,"Charles H Gabriel, Civilla D Martin (1905)",Hymn,F,,Jazz-Medium Swing,100,3,"(3, 4)","[[5, 9, 12], [5, 9, 12], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12], [5, 9, 12], [2, 6, 9, 12], [2, 6, 9, 12], [7, 10, 14], [7, 10, 14], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [10, 14, 17], [10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [5, 9, 12, 15], [5, 9, 12, 15], [10, 14, 17], [10, 14, 17], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [11, 14, 17], [5, 9, 12], [9, 13, 16, 19], [2, 5, 9], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12, 15], [10, 14, 17], [11, 14, 17], [5, 9, 12], [9, 13, 16, 19], [2, 5, 9], [5, 9, 12], [0, 4, 7, 10], [5, 9, 12], [5, 9, 12]]"
